City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
54,Uherske Hradiste,49.0698,17.4597,63.19,84,9,3.74,CZ,clear sky,2021-06-07 04:20:54
55,Khatanga,71.9667,102.5,38.26,64,97,11.48,RU,overcast clouds,2021-06-07 04:20:55
56,Pangnirtung,66.1451,-65.7125,29.48,89,96,3.44,CA,overcast clouds,2021-06-07 04:20:55
57,Tura,25.5198,90.2201,84.15,71,35,6.55,IN,scattered clouds,2021-06-07 04:20:55
58,Karasburg,-28.0167,18.75,54.25,40,0,23.38,NA,clear sky,2021-06-07 04:20:56
59,Sawakin,19.1059,37.3321,85.17,48,45,4.16,SD,scattered clouds,2021-06-07 04:20:56
60,Angoche,-16.2325,39.9086,72.34,73,96,11.01,MZ,overcast clouds,2021-06-07 04:20:56
61,Udachnyy,66.4167,112.4,43.39,75,79,25.14,RU,light rain,2021-06-07 04:20:57
62,Avarua,-21.2078,-159.775,71.65,78,94,2.3,CK,light rain,2021-06-07 04:20:57
63,Hofn,64.2539,-15.2082,47.01,97,100,12.21,IS,light rain,2021-06-07 04:20:57
64,Ostersund,63.1792,14.6357,54.61,100,0,6.91,SE,clear sky,2021-06-07 04:20:58
65,Saint-Augustin,51.226,-58.6502,46.98,80,100,8.93,CA,overcast clouds,2021-06-07 04:20:58
66,Chunskiy,56.0815,99.6342,56.89,71,81,8.32,RU,light rain,2021-06-07 04:20:58
67,Carnarvon,-24.8667,113.6333,77.07,47,100,10.36,AU,overcast clouds,2021-06-07 04:20:59
68,Saskylakh,71.9167,114.0833,44.83,42,99,7.11,RU,overcast clouds,2021-06-07 04:20:59
69,El Alto,-4.2714,-81.2147,65.37,85,96,13.56,PE,overcast clouds,2021-06-07 04:20:59
70,Hay River,60.8156,-115.7999,44.58,76,75,3.44,CA,broken clouds,2021-06-07 04:21:00
71,Ilulissat,69.2167,-51.1,37.42,81,0,0.0,GL,clear sky,2021-06-07 04:21:00
72,East London,-33.0153,27.9116,63.54,36,0,8.05,ZA,clear sky,2021-06-07 04:21:00
73,Castro,-24.7911,-50.0119,57.02,92,100,6.26,BR,heavy intensity rain,2021-06-07 04:21:01
74,Komsomolskiy,40.4272,71.7189,90.82,28,81,2.3,UZ,broken clouds,2021-06-07 04:18:15
75,Nanga Eboko,4.6833,12.3667,65.53,99,99,0.38,CM,overcast clouds,2021-06-07 04:21:01
76,Abu Dhabi,24.4667,54.3667,91.51,62,0,11.05,AE,clear sky,2021-06-07 04:18:01
77,Busselton,-33.65,115.3333,61.05,59,51,9.46,AU,broken clouds,2021-06-07 04:21:02
78,Altamont,42.2068,-121.7372,53.44,37,1,12.66,US,clear sky,2021-06-07 04:21:02
79,Kaitangata,-46.2817,169.8464,54.93,78,0,8.5,NZ,clear sky,2021-06-07 04:21:03
80,Airai,-8.9266,125.4092,74.46,44,98,2.89,TL,overcast clouds,2021-06-07 04:18:45
81,Bredasdorp,-34.5322,20.0403,61.92,39,4,8.25,ZA,clear sky,2021-06-07 04:21:03
82,Kapaa,22.0752,-159.319,84.18,71,40,4.0,US,scattered clouds,2021-06-07 04:21:03
83,Opuwo,-18.0607,13.84,53.74,52,2,6.55,NA,clear sky,2021-06-07 04:21:04
84,Poya,-21.35,165.15,74.05,56,80,10.49,NC,broken clouds,2021-06-07 04:21:04
85,New Norfolk,-42.7826,147.0587,63.91,50,100,5.01,AU,overcast clouds,2021-06-07 04:21:05
86,Jamestown,42.097,-79.2353,70.34,78,1,9.22,US,clear sky,2021-06-07 04:17:30
87,Tecolutla,20.4833,-97.0167,81.3,87,78,11.63,MX,broken clouds,2021-06-07 04:21:05
88,Kargalinskaya,43.7417,46.4792,62.17,84,100,8.55,RU,overcast clouds,2021-06-07 04:21:05
89,Asyut,27.181,31.1837,70.74,48,97,10.58,EG,overcast clouds,2021-06-07 04:21:06
90,Cabo San Lucas,22.8909,-109.9124,87.8,62,11,11.41,MX,few clouds,2021-06-07 04:21:06
91,La Orilla,17.9833,-102.2333,80.85,79,97,4.21,MX,overcast clouds,2021-06-07 04:21:06
92,Davidson,36.1501,-86.7833,72.39,87,90,3.44,US,overcast clouds,2021-06-07 04:21:07
93,Georgetown,5.4112,100.3354,87.89,71,20,4.61,MY,few clouds,2021-06-07 04:21:07
94,Buckie,57.6757,-2.9624,50.32,90,96,8.08,GB,overcast clouds,2021-06-07 04:21:07
95,Puerto Del Rosario,28.5004,-13.8627,69.55,73,100,13.8,ES,overcast clouds,2021-06-07 04:21:08
96,Cabedelo,-6.9811,-34.8339,75.87,86,23,10.27,BR,few clouds,2021-06-07 04:21:08
97,Luderitz,-26.6481,15.1594,64.8,36,1,8.61,NA,clear sky,2021-06-07 04:17:38
98,Sitka,57.0531,-135.33,53.49,66,75,4.61,US,broken clouds,2021-06-07 04:21:09
99,Jumla,29.2747,82.1838,69.42,55,1,5.73,NP,clear sky,2021-06-07 04:21:09
100,Peto,20.1333,-88.9167,79.57,76,66,6.26,MX,broken clouds,2021-06-07 04:21:09
101,Cidreira,-30.1811,-50.2056,62.29,78,91,13.02,BR,overcast clouds,2021-06-07 04:21:10
102,Shimoda,34.6667,138.95,73.76,84,100,3.89,JP,overcast clouds,2021-06-07 04:21:10
103,Harrisonville,38.6533,-94.3488,73.81,86,1,4.61,US,clear sky,2021-06-07 04:21:10
104,Waingapu,-9.6567,120.2641,85.01,65,88,13.27,ID,overcast clouds,2021-06-07 04:21:11
